Date,Longs,Shorts,Return
2021-10-31,,,0
2021-11-30,,,0
2021-12-31,,,0
2022-01-31,,,0
2022-02-28,,,0
2022-03-31,,,0
2022-04-30,,,0
2022-05-31,,,0
2022-06-30,,,0
2022-07-31,,,0
2022-08-31,,,0
2022-09-30,,,0
2022-10-31,"BNB/USDT:USDT,CHZ/USDT:USDT,ETC/USDT:USDT,LRC/USDT:USDT,MANA/USDT:USDT,SAND/USDT:USDT,TRX/USDT:USDT,UNFI/USDT:USDT","1000SHIB/USDT:USDT,AXS/USDT:USDT,DYDX/USDT:USDT,FIL/USDT:USDT,FTM/USDT:USDT,MASK/USDT:USDT,RUNE/USDT:USDT,SUSHI/USDT:USDT",-0.1881284002867567
2022-11-30,"BNB/USDT:USDT,CHZ/USDT:USDT,DOGE/USDT:USDT,ETC/USDT:USDT,LRC/USDT:USDT,SAND/USDT:USDT,TRX/USDT:USDT,UNFI/USDT:USDT","AXS/USDT:USDT,DOT/USDT:USDT,DYDX/USDT:USDT,FIL/USDT:USDT,FTM/USDT:USDT,RUNE/USDT:USDT,SUSHI/USDT:USDT,THETA/USDT:USDT",-0.015793322271046795
2022-12-31,"ATOM/USDT:USDT,BNB/USDT:USDT,DOGE/USDT:USDT,ETC/USDT:USDT,LTC/USDT:USDT,TRX/USDT:USDT,UNFI/USDT:USDT,XRP/USDT:USDT","AXS/USDT:USDT,FIL/USDT:USDT,FTM/USDT:USDT,GALA/USDT:USDT,LRC/USDT:USDT,MANA/USDT:USDT,SAND/USDT:USDT,SOL/USDT:USDT",-0.940666207288827
2023-01-31,"BNB/USDT:USDT,DOGE/USDT:USDT,ETC/USDT:USDT,LTC/USDT:USDT,TRB/USDT:USDT,TRX/USDT:USDT,UNFI/USDT:USDT,XRP/USDT:USDT","AXS/USDT:USDT,FIL/USDT:USDT,GALA/USDT:USDT,MANA/USDT:USDT,NEAR/USDT:USDT,SAND/USDT:USDT,SOL/USDT:USDT,SUSHI/USDT:USDT",0.05828376846850579
2023-02-28,"BNB/USDT:USDT,CHZ/USDT:USDT,ETC/USDT:USDT,LTC/USDT:USDT,TRB/USDT:USDT,TRX/USDT:USDT,UNFI/USDT:USDT,XRP/USDT:USDT","ALGO/USDT:USDT,AXS/USDT:USDT,FIL/USDT:USDT,FTM/USDT:USDT,GALA/USDT:USDT,NEAR/USDT:USDT,SAND/USDT:USDT,SOL/USDT:USDT",0.04852223304935474
2023-03-31,"BNB/USDT:USDT,CHZ/USDT:USDT,LTC/USDT:USDT,MASK/USDT:USDT,TRB/USDT:USDT,TRX/USDT:USDT,UNFI/USDT:USDT,ZIL/USDT:USDT","AVAX/USDT:USDT,AXS/USDT:USDT,FTM/USDT:USDT,GALA/USDT:USDT,MANA/USDT:USDT,NEAR/USDT:USDT,SAND/USDT:USDT,SOL/USDT:USDT",0.015375347285375832
2023-04-30,"BNB/USDT:USDT,BTC/USDT:USDT,LTC/USDT:USDT,MASK/USDT:USDT,TRB/USDT:USDT,TRX/USDT:USDT,UNFI/USDT:USDT,XRP/USDT:USDT","AVAX/USDT:USDT,AXS/USDT:USDT,GALA/USDT:USDT,NEAR/USDT:USDT,RUNE/USDT:USDT,SAND/USDT:USDT,SOL/USDT:USDT,ZIL/USDT:USDT",0.12346179028952779
2023-05-31,"BNB/USDT:USDT,BTC/USDT:USDT,LTC/USDT:USDT,MASK/USDT:USDT,TRB/USDT:USDT,TRX/USDT:USDT,UNFI/USDT:USDT,XRP/USDT:USDT","ALGO/USDT:USDT,AVAX/USDT:USDT,AXS/USDT:USDT,GALA/USDT:USDT,NEAR/USDT:USDT,RUNE/USDT:USDT,SAND/USDT:USDT,SOL/USDT:USDT",0.07547838067433661
